,,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023
State Name,College Name,Transferable Credit FTES,Credit FTES,Non-Credit FTES,Total FTES,Vocational Education Credit FTES,Vocational Education Non Credit FTES,Vocational Education Total FTES,Transferable Credit FTES,Credit FTES,Non-Credit FTES,Total FTES,Vocational Education Credit FTES,Vocational Education Non Credit FTES,Vocational Education Total FTES,Transferable Credit FTES,Credit FTES,Non-Credit FTES,Total FTES,Vocational Education Credit FTES,Vocational Education Non Credit FTES,Vocational Education Total FTES,Transferable Credit FTES,Credit FTES,Non-Credit FTES,Total FTES,Vocational Education Credit FTES,Vocational Education Non Credit FTES,Vocational Education Total FTES,Transferable Credit FTES,Credit FTES,Non-Credit FTES,Total FTES,Vocational Education Credit FTES,Vocational Education Non Credit FTES,Vocational Education Total FTES,Transferable Credit FTES,Credit FTES,Non-Credit FTES,Total FTES,Vocational Education Credit FTES,Vocational Education Non Credit FTES,Vocational Education Total FTES,Transferable Credit FTES,Credit FTES,Non-Credit FTES,Total FTES,Vocational Education Credit FTES,Vocational Education Non Credit FTES,Vocational Education Total FTES
State of California,Alameda,"2,865.40","3,628.11",49.95,"3,678.06",848.69,0.74,849.43,"3,058.23","3,767.25",38.35,"3,805.60",906.14,0.96,907.10,"3,006.64","3,586.83",39.87,"3,626.70",863.03,0.52,863.55,"2,911.00","3,361.74",45.14,"3,406.87",866.87,0.34,867.21,"2,591.51","3,007.05",20.40,"3,027.45",679.43,10.52,689.95,"2,140.06","2,498.37",82.99,"2,581.36",636.61,6.43,643.04,"2,365.74","2,750.46",99.46,"2,849.92",694.75,6.50,701.25
State of California,Allan Hancock,"7,094.62","9,408.65",949.76,"10,358.41","3,527.38",273.18,"3,800.55","6,980.97","9,135.53",918.36,"10,053.89","3,417.43",249.41,"3,666.84","7,047.29","9,001.33",879.68,"9,881.01","3,333.25",253.26,"3,586.51","7,385.40","9,047.58",698.24,"9,745.82","3,353.79",189.53,"3,543.32","6,479.83","8,013.15",289.26,"8,302.41","2,798.51",34.00,"2,832.51","6,100.44","7,635.37",548.82,"8,184.19","3,046.12",94.14,"3,140.26","6,387.67","7,944.01",569.59,"8,513.60","3,335.69",115.06,"3,450.75"
State of California,American River,"14,148.12","21,921.99",39.26,"21,961.24","8,782.15",0.00,"8,782.15","13,685.71","22,096.03",2.86,"22,098.89","9,377.21",0.00,"9,377.21","14,196.56","23,526.35",17.70,"23,544.05","11,051.61",0.00,"11,051.61","14,459.08","22,033.22",3.23,"22,036.45","9,858.14",0.00,"9,858.14","13,361.98","16,870.91",0.00,"16,870.91","5,607.87",0.00,"5,607.87","12,274.61","17,175.66",0.00,"17,175.66","7,238.31",0.00,"7,238.31","12,261.23","18,945.60",0.00,"18,945.60","9,276.61",0.00,"9,276.61"
State of California,Antelope Valley,"8,455.22","10,834.68",71.78,"10,906.46","2,751.13",0.00,"2,751.13","8,424.37","10,986.55",82.86,"11,069.41","2,802.16",3.33,"2,805.49","8,702.46","10,984.10",100.90,"11,085.00","2,962.63",8.57,"2,971.20","9,502.42","10,982.27",82.49,"11,064.76","3,214.39",8.47,"3,222.86","8,043.05","9,240.85",37.60,"9,278.45","2,679.51",3.71,"2,683.22","7,179.74","8,284.05",42.88,"8,326.93","2,465.29",6.64,"2,471.93","7,691.37","8,913.80",55.80,"8,969.60","2,947.73",7.22,"2,954.95"
State of California,Bakersfield,"11,616.45","15,474.24",51.77,"15,526.00","4,567.71",0.00,"4,567.71","12,708.11","17,000.67",32.98,"17,033.64","4,971.16",0.00,"4,971.16","13,035.64","18,161.62",110.44,"18,272.06","5,238.26",0.00,"5,238.26","15,028.14","18,810.35",96.92,"18,907.27","5,698.68",1.15,"5,699.83","14,786.86","18,572.59",129.06,"18,701.66","5,717.95",80.52,"5,798.47","13,792.95","16,883.27",171.97,"17,055.24","5,591.88",96.69,"5,688.57","9,797.02","10,597.71",223.22,"10,820.92","3,198.72",60.26,"3,258.98"
State of California,Barstow,"1,883.80","2,562.50",28.59,"2,591.09",609.22,0.00,609.22,"1,813.48","2,490.33",31.75,"2,522.08",551.76,0.00,551.76,"1,196.61","2,482.32",32.62,"2,514.95",577.78,0.00,577.78,502.91,"2,558.92",37.06,"2,595.98",615.82,0.00,615.82,421.69,"2,159.50",9.42,"2,168.92",451.90,0.00,451.90,"1,058.19","2,161.10",60.77,"2,221.88",460.62,19.83,480.45,"2,436.72","2,681.42",69.40,"2,750.82",562.73,10.17,572.90
State of California,Berkeley City,"3,961.70","4,559.30",1.74,"4,561.04",820.04,0.00,820.04,"3,805.71","4,369.94",0.00,"4,369.94",715.51,0.00,715.51,"3,654.81","4,146.85",14.95,"4,161.80",700.64,12.26,712.90,"3,627.86","3,826.11",104.92,"3,931.03",711.17,46.63,757.80,"3,406.28","3,552.98",134.96,"3,687.95",666.17,51.76,717.92,"3,146.28","3,218.91",173.74,"3,392.65",823.54,89.75,913.29,"3,395.80","3,495.76",425.48,"3,921.25",989.23,116.76,"1,105.99"
State of California,Butte,"7,366.22","9,657.69","1,185.49","10,843.18","3,762.69",2.15,"3,764.84","7,317.16","9,795.91","1,414.25","11,210.15","4,064.83",2.72,"4,067.55","7,417.78","9,138.33","1,306.41","10,444.74","3,581.94",120.32,"3,702.26","7,368.86","8,979.66",568.95,"9,548.60","3,761.53",48.65,"3,810.19","6,679.16","8,138.85",61.80,"8,200.64","3,510.93",11.39,"3,522.32","6,952.45","8,143.69",153.74,"8,297.43","3,562.36",4.53,"3,566.89","7,206.91","7,961.43",279.00,"8,240.43","3,343.38",4.09,"3,347.47"
State of California,Cabrillo,"7,325.36","9,337.05",185.12,"9,522.18","2,364.32",0.40,"2,364.72","7,255.04","9,377.66",166.27,"9,543.93","2,571.60",5.52,"2,577.12","7,307.97","8,773.99",395.90,"9,169.89","2,296.75",13.12,"2,309.87","7,370.83","8,592.60",335.91,"8,928.51","2,409.92",16.04,"2,425.96","6,543.29","7,622.73",295.52,"7,918.25","2,224.88",68.16,"2,293.04","5,687.80","6,491.09",432.49,"6,923.58","1,665.43",49.05,"1,714.48","4,407.34","5,391.71",794.89,"6,186.60","1,510.97",159.45,"1,670.41"
